,S11,S21,S31,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31,Real(S21),Imag(S21)
4.0,(-0.150715637584533-0.0440520722269604j),(-0.265921720724943+0.951120290009289j),(-0.000179600494116977-0.000107902729610986j),-16.080811043866124,-0.10842108687303234,-73.57542043247906,-163.70709710782452,105.62034888152895,-149.00284432859937,-0.265921720724943,0.951120290009289
4.001,(-0.1507404943050266-0.04400684342809505j),(-0.2656160761580196+0.9512038460588216j),(-0.00018082832396914-0.0001085799633726405j),-16.08019275337147,-0.10843672021562573,-73.5175232287824,-163.72548116639612,105.60196638187476,-149.0169173263229,-0.2656160761580196,0.9512038460588216
4.002,(-0.1507653325938798-0.04396159389886768j),(-0.2653103947037496+0.9512873079282215j),(-0.0001820715304245701-0.0001092656172710401j),-16.07957491247443,-0.10845234451974335,-73.45929229808327,-163.74386798452042,105.58358322441525,-149.03099146655993,-0.2653103947037496,0.9512873079282215
4.003,(-0.1507901526763325-0.04391632356469167j),(-0.265004676154231+0.9513706756307043j),(-0.0001833304027995912-0.0001099598495627392j),-16.078957509681874,-0.10846796007272279,-73.4007234775922,-163.7622576151771,105.56519939548734,-149.0450667754143,-0.265004676154231,0.9513706756307043
4.004,(-0.1508149547835771-0.04387103234859419j),(-0.2646989202956276+0.9514539491799524j),(-0.0001846052377128385-0.0001106628224955765j),-16.07834053321462,-0.10848356716936576,-73.34181252599093,-163.78065011267964,105.54681488108608,-149.05914327964294,-0.2646989202956276,0.9514539491799524
4.005,(-0.150839739152947-0.04382572017113968j),(-0.2643931269079761+0.9515371285901312j),(-0.0001858963393171139-0.0001113747024353044j),-16.077723970998385,-0.10849916611216369,-73.28255512144418,-163.7990455327177,105.52842966685357,-149.0732210066768,-0.2643931269079761,0.9515371285901312
4.006,(-0.1508645060281125-0.04378038695035154j),(-0.2640872957649978+0.9516202138759048j),(-0.0001872040195401142-0.000112095659997063j),-16.07710781065431,-0.10851475721153013,-73.22294685954861,-163.81744393240095,105.51004373806798,-149.08729998464204,-0.2640872957649978,0.9516202138759048
4.007,(-0.1508892556592837-0.04373503260162945j),(-0.2637814266338902+0.9517032050524531j),(-0.0001885285983344663-0.0001128258701819306j),-16.07649203948921,-0.10853034078605292,-73.16298325121562,-163.8358453703048,105.49165707963165,-149.10138024238287,-0.2637814266338902,0.9517032050524531
4.008,(-0.1509139883034223-0.04368965703766486j),(-0.2634755192751163+0.9517861021354849j),(-0.0001898704039374664-0.0001135655125187716j),-16.07587664448536,-0.10854591716278698,-73.10265972048579,-163.8542499065176,105.47326967605899,-149.11546180948423,-0.2634755192751163,0.9517861021354849
4.009,(-0.1509387042244604-0.04364426016835186j),(-0.2631695734421861+0.9518689051412572j),(-0.0001912297731409668-0.0001143147712116203j),-16.075261612289925,-0.10856148667750651,-73.04197160227302,-163.87265760269025,105.45488151146374,-149.1295447162964,-0.2631695734421861,0.9518689051412572
