,S11,S21,S31
4.0,(-0.12903643644488-0.022905344376546j),(-0.268184846601751+0.954411756152637j),(-0.000155380337150258-8.30444471059751e-05j)
4.001,(-0.1290558774394764-0.02286191005059115j),(-0.2678774519461429+0.9544965157605392j),(-0.0001560162000813666-8.333190231419711e-05j)
4.002,(-0.1290752936768674-0.02281846019191276j),(-0.2675700283063125+0.954581178117679j),(-0.000156656562354994-8.362134581135745e-05j)
4.003,(-0.1290946851845806-0.02277499479680794j),(-0.2672625756720265+0.9546657432210167j),(-0.0001573014713627178-8.391279848005136e-05j)
4.004,(-0.1291140519906685-0.02273151386126351j),(-0.2669550940324897+0.9547502110675541j),(-0.0001579509751504956-8.420628150114406e-05j)
4.005,(-0.1291333941237184-0.0226880173809489j),(-0.2666475833763298+0.9548345816543387j),(-0.00015860512244763-8.45018163531907e-05j)
4.006,(-0.1291527116128608-0.02264450535121159j),(-0.2663400436915918+0.9549188549784633j),(-0.0001592639626744654-8.479942481730586e-05j)
4.007,(-0.1291720044877802-0.02260097776707036j),(-0.2660324749657245+0.9550030310370659j),(-0.0001599275459562899-8.509912898605992e-05j)
4.008,(-0.129191272778723-0.02255743462321027j),(-0.2657248771855704+0.9550871098273328j),(-0.0001605959231305072-8.540095126808866e-05j)
4.009,(-0.1292105165165087-0.02251387591397574j),(-0.2654172503373559+0.9551710913464956j),(-0.0001612691457671923-8.570491438979529e-05j)
4.01,(-0.1292297357325395-0.02247030163336468j),(-0.2651095944066799+0.9552549755918363j),(-0.0001619472661780277-8.601104140494248e-05j)
4.011,(-0.1292489304588105-0.02242671177502217j),(-0.2648019093785013+0.9553387625606837j),(-0.00016263033742231-8.631935570251304e-05j)
4.012,(-0.1292681007279204-0.02238310633223388j),(-0.2644941952371304+0.9554224522504168j),(-0.0001633184133398382-8.662988100657486e-05j)
4.013,(-0.1292872465730818-0.02233948529791908j),(-0.2641864519662128+0.9555060446584651j),(-0.0001640115485417144-8.694264138817862e-05j)
4.014,(-0.129306368028133-0.0222958486646247j),(-0.2638786795487214+0.9555895397823083j),(-0.0001647097984458741-8.725766126846957e-05j)
4.015,(-0.1293254651275483-0.02225219642451769j),(-0.2635708779669414+0.9556729376194795j),(-0.0001654132192728025-8.757496542692472e-05j)
4.016,(-0.1293445379064501-0.02220852856937797j),(-0.2632630472024589+0.9557562381675622j),(-0.0001661218680759812-8.78945790041753e-05j)
4.017,(-0.1293635864006203-0.02216484509059147j),(-0.262955187236148+0.955839441424195j),(-0.0001668358027504734-8.821652751439078e-05j)
4.018,(-0.1293826106465123-0.02212114597914266j),(-0.2626472980481583+0.9559225473870702j),(-0.0001675550820455474-8.854083684618296e-05j)
4.019,(-0.1294016106812635-0.02207743122560682j),(-0.2623393796178984+0.9560055560539339j),(-0.0001682797655823227-8.886753327669063e-05j)
4.02,(-0.1294205865427073-0.02203370082014221j),(-0.2620314319240267+0.9560884674225907j),(-0.0001690099138769871-8.919664347203015e-05j)
4.021,(-0.1294395382693865-0.02198995475248269j),(-0.2617234549444331+0.9561712814908991j),(-0.0001697455883489988-8.952819449635695e-05j)
4.022,(-0.1294584659005659-0.02194619301192903j),(-0.2614154486562271+0.9562539982567784j),(-0.0001704868513387779-8.986221382335854e-05j)
4.023,(-0.1294773694762458-0.02190241558734096j),(-0.2611074130357239+0.9563366177182027j),(-0.0001712337661344591-9.019872933753762e-05j)
4.024,(-0.129496249037176-0.02185862246712838j),(-0.2607993480584257+0.9564191398732093j),(-0.0001719863969706544-9.053776934814658e-05j)
4.025,(-0.1295151046248694-0.02181481363924336j),(-0.2604912536990101+0.9565015647198936j),(-0.0001727448090742041-9.087936259244157e-05j)
4.026,(-0.1295339362816162-0.02177098909117041j),(-0.2601831299313123+0.9565838922564142j),(-0.0001735090686482518-9.122353824797335e-05j)
4.027,(-0.1295527440504991-0.02172714880991819j),(-0.2598749767283098+0.9566661224809914j),(-0.0001742792429325368-9.157032593429741e-05j)
4.028,(-0.1295715279754079-0.02168329278200993j),(-0.2595667940621057+0.9567482553919088j),(-0.0001750554001817179-9.191975573187881e-05j)
4.029,(-0.1295902881010548-0.02163942099347347j),(-0.2592585819039116+0.9568302909875145j),(-0.0001758376097138212-9.227185817956554e-05j)
4.03,(-0.1296090244729902-0.02159553342983263j),(-0.2589503402240304+0.9569122292662227j),(-0.0001766259419149825-9.262666429508845e-05j)
4.031,(-0.1296277371376187-0.02155163007609637j),(-0.2586420689918405+0.9569940702265162j),(-0.0001774204682707084-9.298420557375069e-05j)
4.032,(-0.1296464261422158-0.0215077109167488j),(-0.2583337681757732+0.9570758138669426j),(-0.000178221261389091-9.334451400103183e-05j)
4.033,(-0.1296650915349441-0.02146377593573921j),(-0.2580254377432999+0.9571574601861198j),(-0.0001790283950018863-9.370762206984723e-05j)
4.034,(-0.1296837333648708-0.02141982511647099j),(-0.2577170776609096+0.9572390091827367j),(-0.0001798419440120974-9.407356277726205e-05j)
4.035,(-0.1297023516819858-0.02137585844179083j),(-0.2574086878940895+0.9573204608555538j),(-0.0001806619845056819-9.444236964487545e-05j)
4.036,(-0.129720946537219-0.0213318758939777j),(-0.2571002684073073+0.9574018152034036j),(-0.0001814885937728773-9.481407672464269e-05j)
4.037,(-0.129739517982459-0.02128787745473103j),(-0.2567918191639885+0.957483072225192j),(-0.0001823218503316226-9.518871861182838e-05j)
4.038,(-0.1297580660705724-0.02124386310515984j),(-0.2564833401264977+0.9575642319199024j),(-0.0001831618339688057-9.556633045043057e-05j)
4.039,(-0.1297765908554225-0.0211998328257696j),(-0.2561748312561169+0.9576452942865925j),(-0.000184008625732932-9.594694795530715e-05j)
4.04,(-0.1297950923918896-0.02115578659645113j),(-0.2558662925130213+0.9577262593243997j),(-0.0001848623079982471-9.633060740887626e-05j)
4.041,(-0.1298135707358912-0.02111172439646714j),(-0.2555577238562602+0.9578071270325412j),(-0.000185722964461927-9.671734568443698e-05j)
4.042,(-0.1298320259444026-0.02106764620443996j),(-0.2552491252437336+0.9578878974103131j),(-0.0001865906801798481-9.710720025349089e-05j)
4.043,(-0.1298504580754788-0.02102355199833779j),(-0.2549404966321659+0.9579685704570952j),(-0.0001874655416015175-9.750020919809952e-05j)
4.044,(-0.1298688671882754-0.02097944175546178j),(-0.2546318379770863+0.9580491461723514j),(-0.0001883476365927862-9.789641122199612e-05j)
4.045,(-0.1298872533430719-0.02093531545243163j),(-0.2543231492327994+0.9581296245556308j),(-0.0001892370544608835-9.829584567064855e-05j)
4.046,(-0.129905616601294-0.02089117306517199j),(-0.254014430352365+0.958210005606568j),(-0.0001901338859921558-9.869855253143006e-05j)
4.047,(-0.1299239570255375-0.02084701456889735j),(-0.2537056812875678+0.958290289324889j),(-0.0001910382234750788-9.91045724599928e-05j)
4.048,(-0.1299422746795921-0.02080283993809751j),(-0.2533969019888941+0.9583704757104087j),(-0.0001919501607426493-9.951394678445129e-05j)
4.049,(-0.1299605696284663-0.02075864914652207j),(-0.2530880924055027+0.9584505647630339j),(-0.0001928697931914042-9.992671752896867e-05j)
4.05,(-0.1299788419384125-0.0207144421671649j),(-0.2527792524851991+0.9585305564827644j),(-0.000193797217816978-0.0001003429274172793j)
4.051,(-0.1299970916769532-0.02067021897224812j),(-0.2524703821744034+0.9586104508696971j),(-0.0001947325332657856-0.0001007626198957488j)
4.052,(-0.1300153189129075-0.0206259795332055j),(-0.2521614814181253+0.9586902479240256j),(-0.0001956758398377065-0.0001011858391450787j)
4.053,(-0.1300335237164183-0.02058172382066557j),(-0.2518525501599311+0.9587699476460427j),(-0.0001966272395486645-0.0001016126301015355j)
4.054,(-0.1300517061589805-0.02053745180443449j),(-0.2515435883419145+0.9588495500361424j),(-0.0001975868361632551-0.0001020430384589041j)
4.055,(-0.1300698663134694-0.02049316345347816j),(-0.2512345959046647+0.9589290550948217j),(-0.0001985547352078045-0.0001024771107046992j)
4.056,(-0.1300880042541704-0.0204488587359038j),(-0.250925572787233+0.9590084628226833j),(-0.0001995310440463086-0.0001029148941181408j)
4.057,(-0.1301061200568094-0.02040453761894165j),(-0.2506165189271008+0.9590877732204379j),(-0.0002005158718891812-0.0001033564368010067j)
4.058,(-0.1301242137985832-0.02036020006892539j),(-0.2503074342601455+0.9591669862889032j),(-0.0002015093298531738-0.0001038017876883415j)
4.059,(-0.1301422855581919-0.02031584605127289j),(-0.2499983187206048+0.9592461020290105j),(-0.0002025115309902314-0.0001042509965695099j)
4.06,(-0.1301603354158712-0.02027147553046534j),(-0.249689172241041+0.9593251204418055j),(-0.0002035225903340188-0.0001047041141055656j)
4.061,(-0.1301783634534261-0.02022708847002731j),(-0.249379994752304+0.9594040415284482j),(-0.00020454262494605-0.0001051611918479505j)
4.062,(-0.1301963697542654-0.02018268483250482j),(-0.2490707861834947+0.9594828652902183j),(-0.0002055717539574768-0.0001056222822606938j)
4.063,(-0.1302143544034366-0.02013826457944391j),(-0.2487615464619252+0.9595615917285168j),(-0.0002066100986159559-0.0001060874387385427j)
4.064,(-0.1302323174876625-0.02009382767136774j),(-0.248452275513078+0.9596402208448678j),(-0.0002076577823394705-0.0001065567156273582j)
4.065,(-0.1302502590953786-0.02004937406775414j),(-0.2481429732605664+0.9597187526409217j),(-0.0002087149307483726-0.0001070301682491653j)
4.066,(-0.1302681793167707-0.02000490372701135j),(-0.2478336396260938+0.9597971871184562j),(-0.0002097816717247683-0.0001075078529173208j)
4.067,(-0.1302860782438149-0.01996041660645414j),(-0.2475242745294058+0.9598755242793835j),(-0.0002108581354819447-0.0001079898269632392j)
4.068,(-0.1303039559703177-0.01991591266227858j),(-0.2472148778882512+0.9599537641257471j),(-0.0002119444545812947-0.0001084761487612597j)
4.069,(-0.1303218125919571-0.01987139184953638j),(-0.2469054496183326+0.9600319066597294j),(-0.0002130407640007316-0.0001089668777528119j)
4.07,(-0.1303396482063258-0.01982685412210878j),(-0.2465959896332625+0.9601099518836512j),(-0.0002141472012145786-0.0001094620744599523j)
4.071,(-0.1303574629129745-0.01978229943267926j),(-0.246286497844513+0.9601878997999782j),(-0.0002152639062131549-0.0001099618005234614j)
4.072,(-0.1303752568134573-0.01973772773270557j),(-0.2459769741613665+0.9602657504113211j),(-0.0002163910215843032-0.0001104661187247398j)
4.073,(-0.1303930300113773-0.01969313897239151j),(-0.2456674184908664+0.9603435037204404j),(-0.0002175286925598508-0.0001109750930123408j)
4.074,(-0.1304107826124348-0.0196485331006571j),(-0.2453578307377638+0.9604211597302483j),(-0.0002186770670970382-0.0001114887885220685j)
4.075,(-0.1304285147244759-0.01960391006510841j),(-0.2450482108044624+0.9604987184438141j),(-0.0002198362959123513-0.0001120072716176984j)
4.076,(-0.130446226457543-0.01955926981200662j),(-0.2447385585909666+0.960576179864367j),(-0.000221006532584485-0.0001125306099083191j)
4.077,(-0.1304639179239258-0.019514612286236j),(-0.2444288739948216+0.9606535439952971j),(-0.0002221879335891656-0.0001130588722843817j)
4.078,(-0.1304815892382151-0.01946993743127079j),(-0.2441191569110563+0.9607308108401628j),(-0.0002233806583810422-0.0001135921289483877j)
4.079,(-0.1304992405173575-0.01942524518914157j),(-0.2438094072321237+0.9608079804026924j),(-0.0002245848694778486-0.0001141304514396386j)
4.08,(-0.1305168718807112-0.01938053550040036j),(-0.2434996248478364+0.9608850526867899j),(-0.0002258007324981416-0.0001146739126749854j)
4.081,(-0.1305344834501044-0.01933580830408475j),(-0.2431898096453073+0.9609620276965355j),(-0.0002270284162760376-0.0001152225869764584j)
4.082,(-0.1305520753498943-0.01929106353768114j),(-0.2428799615088802+0.9610389054361919j),(-0.0002282680929243683-0.0001157765501029448j)
4.083,(-0.1305696477070292-0.0192463011370865j),(-0.2425700803200641+0.9611156859102109j),(-0.000229519937893607-0.0001163358792992458j)
4.084,(-0.1305872006511106-0.01920152103656966j),(-0.242260165957464+0.9611923691232321j),(-0.0002307841300947524-0.0001169006533096318j)
4.085,(-0.1306047343144592-0.01915672316873078j),(-0.2419502182967077+0.9612689550800935j),(-0.0002320608519446596-0.0001174709524382659j)
4.086,(-0.1306222488321811-0.01911190746446017j),(-0.241640237210376+0.9613454437858304j),(-0.0002333502894830356-0.0001180468585660087j)
4.087,(-0.1306397443422369-0.0190670738528956j),(-0.2413302225679219+0.9614218352456847j),(-0.0002346526324339735-0.0001186284552106639j)
4.088,(-0.130657220985513-0.01902222226137787j),(-0.2410201742355961+0.961498129465108j),(-0.0002359680743323645-0.000119215827551216j)
4.089,(-0.1306746789058942-0.01897735261540648j),(-0.2407100920763666+0.9615743264497658j),(-0.0002372968125919741-0.0001198090624773374j)
4.09,(-0.1306921182503392-0.01893246483859206j),(-0.2403999759498338+0.9616504262055434j),(-0.0002386390486063888-0.0001204082486310871j)
4.091,(-0.1307095391689583-0.01888755885260894j),(-0.2400898257121472+0.9617264287385525j),(-0.0002399949878613946-0.0001210134764521661j)
4.092,(-0.1307269418150934-0.01884263457714538j),(-0.2397796412159155+0.9618023340551344j),(-0.0002413648400428331-0.0001216248382188907j)
4.093,(-0.1307443263454004-0.01879769192985247j),(-0.2394694223101172+0.9618781421618677j),(-0.0002427488191184496-0.0001222424281065825j)
4.094,(-0.130761692919934-0.01875273082629162j),(-0.2391591688400078+0.9619538530655725j),(-0.0002441471434750047-0.0001228663422192541j)
